Product Name,Actual Price,offer Price,No.of Ratings,reviews,Averager Rating,Brand,offer %
Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U,"₹53,000","₹39,999","2,904",210,4.1,Acer,24% off
DELL Latitude 3540 (2025) Intel Core i3 12th Gen 1215U,"₹70,990","₹33,390",46,3,4.3,DELL,52% off
ASUS Expertbook P1 Intel Core i7 13th Gen 13620H,"₹99,990","₹62,990",42,9,4.5,ASUS,37% off
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U,"₹44,990","₹30,990","2,959",283,4.2,ASUS,31% off
"ASUS Vivobook 16 (2025), Copilot + PC with Office 2024 + M365 Basic*, AI PC Qualcomm Snapdragon X","₹84,990","₹62,990",41,4,4,ASUS,25% off
HP OMEN AI PC OLED Intel Core Ultra 7 155H,"₹1,91,000","₹1,33,900",35,6,4.3,HP,29% off
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U,"₹57,990","₹35,990",14,0,3.6,ASUS,37% off
"ASUS Vivobook S 15 OLED Powered Copilot + , AI PC Snapdragon X Elite","₹1,46,990","₹84,990",28,2,4.2,ASUS,42% off
HP 15 (2024) AMD Ryzen 3 Quad Core 7320U,"₹45,995","₹29,690","2,161",185,4.2,HP,35% off
ASUS Vivobook Go 14 Intel Celeron Dual Core N4500,"₹37,254","₹23,590","1,198",81,4,ASUS,36% off
Acer Aspire Lite AMD Ryzen 7 Octa Core 5700U,"₹68,323","₹38,500",279,30,4,Acer,43% off
HP Omen AMD Ryzen 7 Octa Core 7840HS,"₹1,23,652","₹94,490",307,38,4.4,HP,23% off
HP 15s Intel Core i3 12th Gen 1215U,"₹51,266","₹32,990","5,976",364,4.2,HP,35% off
SAMSUNG Galaxy Book5 360 AI PC Full Metal Chasis Intel Core Ultra 5 226V,"₹1,37,988","₹1,14,990",12,2,4.9,SAMSUNG,16% off
ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS,"₹70,990","₹52,990",6,1,3.8,ASUS,25% off
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U,"₹50,990","₹35,990","1,026",75,4.2,ASUS,29% off
ASUS Vivobook Go 14 AMD Ryzen 5 Quad Core 7520U,"₹62,747","₹35,990",40,1,4.4,ASUS,42% off
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520,"₹16,298","₹9,999",13,0,3.6,Lenovo,38% off
Lenovo Yoga Slim 7 Intel Core Ultra 7 155H,"₹1,53,190","₹87,990",38,0,4.3,Lenovo,42% off
Thomson NEO Core Series Intel Core i3 12th Gen 1215U,"₹44,990","₹21,990",95,22,3.8,Thomson,51% off
HP 15 (2024) AMD Ryzen 3 Quad Core 7320U,"₹45,995","₹29,690","2,161",185,4.2,HP,35% off
Lenovo AMD Ryzen 3 Quad Core 7330U,"₹58,500","₹30,490",795,85,4.2,Lenovo,47% off
Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS,"₹1,08,990","₹82,490",944,68,4.5,Lenovo,24% off
Lenovo IdeaPad Slim 5 Intel Core i5 13th Gen 13420H,"₹97,290","₹72,990",n/a,n/a,n/a,Lenovo,24% off
Acer Swift Go 14 Snapdragon X Plus,"₹1,08,799","₹59,990",217,40,4.4,Acer,44% off
Lenovo IdeaPad Slim 3 Backlit Intel Core i5 12th Gen 12450H,"₹75,000","₹52,499",699,52,4.2,Lenovo,30% off
Lenovo Intel Core i3 12th Gen,"₹52,990","₹32,350",79,4,4,Lenovo,38% off
Lenovo IdeaPad Slim 5 Co-Pilot PC Snapdragon X Plus,"₹1,25,890","₹54,990",163,23,4.2,Lenovo,56% off
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U,"₹44,990","₹30,990","2,959",283,4.2,ASUS,31% off
HP AMD Ryzen 5 Quad Core 7520U,"₹56,831","₹42,990",69,10,4,HP,24% off
Acer Aspire Lite AMD Ryzen 7 Octa Core 5700U,"₹72,990","₹42,990",279,30,4,Acer,41% off
Infinix Y4 Max Series Intel Core i3 13th Gen 1315U,"₹54,990","₹29,990",412,49,4.3,Infinix,45% off
SAMSUNG Galaxy Book4 Intel Core 5 120U,"₹86,239","₹62,490",159,16,4.4,SAMSUNG,27% off
"ASUS Vivobook 16 (2025), Copilot + PC with Office 2024 + M365 Basic*, AI PC Qualcomm Snapdragon X","₹84,990","₹62,990",41,4,4,ASUS,25% off
"ASUS Vivobook S 15 OLED Powered Copilot + , AI PC Snapdragon X Elite","₹1,46,990","₹84,990",28,2,4.2,ASUS,42% off
MSI Modern 14 Intel Core i7 12th Gen 1255U,"₹78,990","₹42,999",181,21,4.3,MSI,45% off
DELL Vostro 3520 Intel Core i5 12th Gen 1235U,"₹68,718","₹48,990",347,17,4.3,DELL,28% off
SAMSUNG Galaxy Book5 360 AI PC Full Metal Chasis Intel Core Ultra 5 226V,"₹1,37,988","₹1,14,990",12,2,4.9,SAMSUNG,16% off
ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS,"₹70,990","₹52,990",6,1,3.8,ASUS,25% off
