product_name,actual_price,offer_price,no.of_ratings,reviews,averager_rating,brand,offer_%
Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U,63999,37990,1025,92,4.1,Acer,40
"ASUS Zenbook 14 OLED (2025) with Office 2024 + M365 Basic*, AI PC Intel Core Ultra 5 225H",135990,112990,4,0,5.0,ASUS,16
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 13th Gen 1335U",92863,59990,720,38,4.2,DELL,35
DELL 15 Intel Core i5 12th Gen 1235U,62415,45990,191,6,4.2,DELL,26
HP 250R G9 (2024) Intel Core i3 13th Gen Intel Core i3,39724,32349,39,1,4.5,HP,18
Acer Swift Go 14 EVO OLED Intel Core i5 13th Gen 13500H,93999,59990,5077,448,4.3,Acer,36
DELL Latitude 3540 (2025) Intel Core i3 12th Gen 1215U,70990,33400,45,3,4.2,DELL,52
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U,56990,32990,7078,569,4.3,ASUS,42
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520,16298,9999,12,0,4.0,Lenovo,38
CHUWI Intel Celeron Quad Core 12th Gen N100,34990,17990,505,90,4.1,CHUWI,48
Lenovo AMD Ryzen 7 Octa Core 7730U,76990,39990,277,30,4.1,Lenovo,48
HP Intel Core i5 12th Gen 1235U,62526,51490,7061,331,4.3,HP,17
HP AMD Ryzen 3 Quad Core 7320U,47716,33999,54,7,4.3,HP,28
Infinix Y4 Max Series Intel Core i5 13th Gen 1335U,64990,34990,385,59,4.2,Infinix,46
HP Victus Intel Core i5 13th Gen 13420H,95746,75990,28,1,3.9,HP,20
DELL Intel Core i3 13th Gen 1305U,46027,35990,384,33,4.1,DELL,21
Acer Aspire Lite AMD Ryzen 7 Octa Core 5700U,68323,39990,278,30,4.0,Acer,41
HP Laptop Intel Core i3 N305,39995,30490,184,10,4.3,HP,23
DELL G15 Intel Core i5 13th Gen 13450HX,93021,71990,76,6,4.0,DELL,22
CHUWI Intel Core i3 12th Gen 1220P,44490,24990,35,6,3.7,CHUWI,43
Lenovo IdeaPad Slim 5 AI PC Intel Core Ultra 5 125H,107690,75990,377,48,4.1,Lenovo,29
Lenovo IdeaPad Slim 5 Intel Core i5 12th Gen 12450H,78590,57990,399,32,4.2,Lenovo,26
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U,50990,37990,1018,72,4.2,ASUS,25
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS,70990,54990,999,79,4.3,ASUS,22
Lenovo LOQ Intel Core i5 12th Gen 12450HX,95890,71990,22,1,3.5,Lenovo,24
ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS,79990,59990,564,50,4.4,ASUS,25
Lenovo V15 Series AMD Athlon Dual Core 7120U,38000,25990,808,59,4.2,Lenovo,31
Infinix GT Book Intel Core i5 12th Gen 12450H,99990,53990,560,88,4.3,Infinix,46
Lenovo IdeaPad Slim 3 Intel Core i3 13th Gen 1305U,55090,36990,70,9,4.1,Lenovo,32
Acer Aspire 7 Intel Core i5 13th Gen 13420H,89999,67990,1200,101,4.3,Acer,24
Lenovo IdeaPad Flex 5 Intel Core i7 13th Gen 1355U,128590,79990,45,3,4.3,Lenovo,37
Lenovo LOQ Intel Core i7 13th Gen 13650HX,141890,94990,299,21,4.3,Lenovo,33
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Quad Core 7520U,65690,32990,422,25,4.0,Lenovo,49
Apple MacBook Air Apple M3,134900,125990,351,21,4.7,Apple,6
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520,16298,9999,12,0,4.0,Lenovo,38
CHUWI Intel Celeron Quad Core 12th Gen N100,34990,17990,505,90,4.1,CHUWI,48
Lenovo IdeaPad Slim 3 15ABR8 AMD Ryzen 5 Hexa Core 5625U,59090,39990,4,1,4.8,Lenovo,32
ASUS VivoBook 14 Intel Core i3 11th Gen 1115G4,50990,31999,642,58,4.3,ASUS,37
HP Victus Intel Core i5 13th Gen 13420H,95746,75990,28,1,3.9,HP,20
CHUWI Intel Core i3 12th Gen 1220P,44490,24990,35,6,3.7,CHUWI,43
Lenovo Chromebook MediaTek Kompanio 520,30790,14990,1748,160,3.8,Lenovo,51
Acer Aspire Intel Core i3 13th Gen 1305U,50990,30990,60,7,4.1,Acer,39
Apple MacBook AIR Apple M2,85900,77990,18575,1141,4.7,Apple,9
Acer Aspire 7 Intel Core i5 13th Gen 13420H,84999,61990,2047,150,4.3,Acer,27
Lenovo IdeaPad 1 AMD Athlon Dual Core 7120U,38090,25990,2047,194,4.2,Lenovo,31
Acer Aspire 3 Intel Celeron Dual Core N4500,29990,23990,2242,181,3.9,Acer,20
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H,66090,41990,2155,106,4.2,Lenovo,36
ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic* Intel Core i5 13th Gen 13420H,84990,67990,0,0,0.0,ASUS,20
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H,70090,48990,2155,106,4.2,Lenovo,30
Acer Aspire 3 Intel Celeron Dual Core N4500,30204,24500,210,28,3.8,Acer,18
Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS,124790,91490,941,68,4.5,Lenovo,26
Lenovo IdeaPad Slim 3 Intel Core i3 13th Gen 1305U,55090,36990,70,9,4.1,Lenovo,32
Lenovo MSO'2024 AMD Ryzen 5 Hexa Core 5625U,56490,37990,4309,383,4.2,Lenovo,32
Acer One Intel Core i3 11th Gen 1115G4,43999,28990,13046,963,4.2,Acer,34
ASUS Chromebook Intel Celeron Dual Core N4500,32990,16990,2437,221,3.8,ASUS,48
Acer Aspire 7 Intel Core i5 13th Gen 13420H,89999,67990,1200,101,4.3,Acer,24
Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U,58890,32990,1781,98,4.2,Lenovo,43
Acer Aspire 3 Intel Celeron Dual Core N4500,32999,22990,2242,181,3.9,Acer,30
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520,16298,9999,12,0,4.0,Lenovo,38
CHUWI Intel Celeron Quad Core 12th Gen N100,34990,17990,505,90,4.1,CHUWI,48
HP (2024) Laptop with Backlit Keyboard Intel Core i5 12th Gen 1235U,54479,46390,12,1,4.3,HP,14
Lenovo IdeaPad Slim 1 Intel Celeron Dual Core N4020,40490,24978,2755,237,4.1,Lenovo,38
Acer Aspire Lite Intel Core i3 12th Gen 1215U,49990,37990,846,70,4.1,Acer,24
Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS,108990,82490,941,68,4.5,Lenovo,24
HP Victus Intel Core i5 13th Gen 13420H,95746,75990,28,1,3.9,HP,20
DELL G15 Intel Core i5 13th Gen 13450HX,93021,71990,76,6,4.0,DELL,22
Apple MacBook Air Apple M3,174900,163990,0,0,0.0,Apple,6
HP Victus Intel Core i5 13th Gen 13420H,75142,65990,124,4,4.0,HP,12
CHUWI Intel Core i3 12th Gen 1220P,44490,24990,35,6,3.7,CHUWI,43
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U,74990,46990,573,48,4.0,Acer,37
Lenovo LOQ Intel Core i5 13th Gen 13450HX,104490,77990,1569,132,4.3,Lenovo,25
Lenovo V15 G2 Intel Core i3 11th Gen 1115G4,55000,31499,402,23,4.2,Lenovo,42
HP Laptop Intel Core i5 12th Gen 1235U,62963,44990,366,19,4.1,HP,28
MOTOROLA Motobook 60 Full Metal Intel Core 5 (Series 2) 210H,93690,66990,31,7,4.5,MOTOROLA,28
Apple MacBook AIR Apple M2,85900,77990,18575,1141,4.7,Apple,9
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U",69990,46990,44,3,4.2,ASUS,32
ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 13th Gen 1315U,56990,41990,236,26,4.4,ASUS,26
Acer Aspire 3 Backlit AMD Ryzen 5 Hexa Core 7430U,54990,36990,1570,204,4.1,Acer,32
Lenovo Intel Core i5 12th Gen 1235U,88414,37341,45,7,4.2,Lenovo,57
HP (2024) Intel Core i3 12th Gen 1215U,45995,34990,124,6,3.9,HP,23
Acer Aspire 7 Intel Core i5 13th Gen 13420H,79999,59990,2047,150,4.3,Acer,25
Lenovo LOQ AMD Ryzen 5 Quad Core 7235HS,87990,62990,791,83,4.4,Lenovo,28
Lenovo LOQ AMD Ryzen 5 Quad Core 7235HS,82690,66990,791,83,4.4,Lenovo,18
HP Laptop AMD Ryzen 3 Quad Core 5300U,44783,40990,2143,183,4.2,HP,8
Acer Swift Go 14 Snapdragon X Plus,108799,59990,216,40,4.3,Acer,44
"ASUS Vivobook 16 (2025), Copilot + PC with Office 2024 + M365 Basic*, AI PC Qualcomm Snapdragon X",84990,65990,41,4,4.0,ASUS,22
Acer Swift Go 14 TouchScreen AI PC Intel Core Ultra 5 125H,92999,79990,656,83,4.3,Acer,13
MSI Modern 14 Intel Core i5 12th Gen 1235U,67990,41500,1833,180,4.3,MSI,38
DELL 15 Intel Core i3 12th Gen 1215U,44861,32990,639,45,4.2,DELL,26
Lenovo IdeaPad Slim 5 Co-Pilot PC Snapdragon X Plus,125890,54990,160,24,4.2,Lenovo,56
DELL Latitude 3540 (2024) Intel Core i3 12th Gen 1215U,70990,32990,102,7,3.9,DELL,53
HP G8 Intel Core i3 12th Gen 12 gen,74000,34600,197,11,3.9,HP,53
HP Victus Intel Core i5 12th Gen 12450H,72718,54990,2886,157,4.3,HP,24
DELL 15 Intel Core i3 12th Gen 1215U,48529,34990,204,10,4.3,DELL,27
CHUWI Intel Celeron Dual Core 11th Gen N4020,34990,16990,1505,188,3.7,CHUWI,51
Apple Apple M3,154900,144990,0,0,0.0,Apple,6
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U,66990,45990,7265,408,4.2,ASUS,31
CHUWI Intel Celeron Quad Core 12th Gen N100,34990,17990,505,90,4.1,CHUWI,48
Infinix Y4 Max Series Intel Core i5 13th Gen 1335U,64990,34990,385,59,4.2,Infinix,46
DELL Inspiron 3535 AMD Ryzen 5 Quad Core 7520U,50304,37999,0,0,0.0,DELL,24
HP Victus AI Powered AMD Ryzen 7 Octa Core 7840HS,96136,76990,591,47,4.3,HP,19
Lenovo V15 Intel Intel Core i5 11th Gen 1135G7,81450,36990,42,3,4.1,Lenovo,54
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520,16298,9999,12,0,4.0,Lenovo,38
CHUWI Intel Celeron Quad Core 12th Gen N100,34990,17990,505,90,4.1,CHUWI,48
DELL Intel Core i3 13th Gen 1305U,49422,37990,384,33,4.1,DELL,23
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U,79990,46990,573,48,4.0,Acer,41
HP Victus Intel Core i5 13th Gen 13420H,95746,75990,28,1,3.9,HP,20
DELL G15 Intel Core i5 13th Gen 13450HX,93021,71990,76,6,4.0,DELL,22
HP Pavilion x360 Intel Core i5 13th Gen 1335U,92746,70490,224,27,4.3,HP,23
Lenovo LOQ Intel Core i5 12th Gen 12450HX,105090,72990,751,58,4.2,Lenovo,30
HP Pavilion AI PC Intel Core Ultra 7 155U,104048,81990,11,1,4.2,HP,21
DELL Latitude 3440 (2024) Intel Core i3 12th Gen 1215U,69999,29890,72,4,4.1,DELL,57
CHUWI Intel Core i3 12th Gen 1220P,44490,24990,35,6,3.7,CHUWI,43
"ASUS Vivobook 16X (2025) for Creator with Office 2024 + M365 Basic, Intel Core i5 13th Gen 13420H",89990,72990,195,13,4.3,ASUS,18
HP Pavilion AMD Ryzen 5 Hexa Core 8540U,76924,54990,9,4,4.1,HP,28
Lenovo IdeaPad 1 AMD Ryzen 5 Quad Core 3500U,60090,39999,828,85,4.2,Lenovo,33
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U,50990,37990,1018,72,4.2,ASUS,25
ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic* Intel Core i3 13th Gen 1315U,51990,38990,0,0,0.0,ASUS,25
Acer Aspire Lite AMD Ryzen 7 Octa Core 5700U,69990,50990,278,30,4.0,Acer,27
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U,57990,38990,14,0,3.6,ASUS,32
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U,50990,33990,2354,234,4.2,ASUS,33
HP Pavilion AMD Ryzen 5 Dual Core 5500U,59899,47490,1732,173,4.5,HP,20
HP AMD Ryzen 5 Hexa Core 5500U,54552,35990,8249,593,4.2,HP,34
Lenovo LOQ Intel Core i5 12th Gen 12450HX,80090,60490,1487,108,4.3,Lenovo,24
ASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 5 Quad Core 7520U,53990,41890,1018,72,4.2,ASUS,22
MSI Modern 14 Intel Core i3 12th Gen 1215U,47990,32990,132,18,4.4,MSI,31
MSI Intel Core i5 12th Gen 1235U,58990,45990,0,0,0.0,MSI,22
Lenovo IdeaPad Flex 5 Intel Core i3 13th Gen 1315U,83890,48990,126,9,4.3,Lenovo,41
MSI Intel Core i5 12th Gen 1235U,55990,42990,8,1,4.0,MSI,23
DELL Intel Celeron Quad Core,48990,21390,0,0,0.0,DELL,56
Lenovo LOQ Intel Core i5 12th Gen 12450HX,93290,64990,6,1,3.5,Lenovo,30
MSI Modern 14 H Intel Core i7 13th Gen 13620H,78990,65990,101,10,4.1,MSI,16
Acer Aspire Lite Intel Core i5 12th Gen 1235U,61147,38799,219,11,3.7,Acer,36
Lenovo IdeaPad Pro 5 2.8K OLED AI PC Intel Core Ultra 9 185H,146890,102990,154,19,4.3,Lenovo,29
Lenovo ThinkBook 15 Intel Core i7 12th Gen 1255U,132300,67999,0,0,0.0,Lenovo,48
